CircRNA,MDA-MB-231,MCF-7,averange,Chromosome,CircStart,CircEnd,Strand,Spliced seq length,Best transcript,Gene Symbol
hsa_circ_0095189,2370.09,669.1694,,chr11,120335945,120338017,+,241,ENST00000397843,ARHGEF12
hsa_circ_0021758,361.2118,215.7597,,chr11,36518657,36523087,-,628,ENST00000526995,TRAF6
hsa_circ_0096347,503.4923232,212.4952804,,chr11,70189774,70202360,+,875,ENST00000253925,PPFIA1
hsa_circ_0095289,12315.3,8989.266,,chr11,125445158,125445282,+,124,ENST00000530985,EI24
hsa-circRNA9408-44,1961.203,1855.249,,chr11,9164949,9215228,-,2438,ENST00000328194,DENND5A
hsa_circ_0096248,2479.0083,2020.838609,,chr11,66590034,66595835,+,210,ENST00000360962,C11orf80
hsa-circRNA9440-2,815.726,1469.036,,chr11,27400243,27407015,-,642,ENST00000379214,LGR4
hsa_circ_0024596,1206.341,1155.475,,chr11,119545868,119549475,-,924,ENST00000341398,PVRL1
hsa-circRNA9469-17,5628.816,4039.347,,chr11,46700914,46717706,-,1180,ENST00000311956,ARHGAP1
hsa_circ_0021986,36204.95,29262.16,,chr11,47440666,47446262,-,924,ENST00000602866,PSMC3
hsa_circ_0023539,2398.47,1778.542,,chr11,73759249,73850873,-,5012,ENST00000334126,C2CD3
hsa_circ_0096250,161.9462014,148.4123461,,chr11,66595736,66598835,+,3099,ENST00000360962,C11orf80
hsa_circ_0021992,170.112,127.3935,,chr11,47487488,47493909,-,6333,ENST00000395290,CELF1
hsa_circ_0024349,195.7163,82.08844,,chr11,116649275,116655637,-,992,ENST00000429220,ZNF259
hsa_circ_0022271,2527.199541,2386.137909,,chr11,61071336,61081178,-,971,ENST00000301764,DDB1
hsa_circ_0095739,1908.165,3292.219,,chr11,33628186,33667582,+,881,ENST00000321505,KIAA1549L
hsa_circ_0020858,6687.902,4620.443,,chr11,3707202,3784269,-,3728,ENST00000324932,NUP98
hsa_circ_0020985,17.82426,4.921415,,chr11,5729402,5817964,+,87810,ENST00000379965,TRIM22
hsa_circ_0022878,620.4145,660.1261,,chr11,65391941,65396419,+,1225,ENST00000355703,PCNXL3
hsa_circ_0094875,3611.597,1091.551,,chr11,108055958,108061227,-,616,ENST00000278612,NPAT
hsa_circ_0021544,806.1427,457.5263,,chr11,28134864,28318478,+,795,ENST00000406787,METTL15
hsa_circ_0024504,574.2119,1212.536,,chr11,118656760,118661972,-,633,ENST00000264018,DDX6
hsa_circ_0022210,1203.589724,334.3824211,,chr11,59540683,59560987,+,645,ENST00000300150,STX3
hsa_circ_0000279,135.1282,130.6651,,chr11,18312988,18313566,-,578,ENST00000396253,HPS5
hsa_circ_0023933,4955.665,2869.676,,chr11,85714408,85723435,-,347,ENST00000532317,PICALM
hsa_circ_0022219,384.2095932,368.3344664,,chr11,60658019,60668841,-,1566,ENST00000227524,PRPF19
hsa-circRNA1202-19,368.6202,284.1484,,chr11,3988781,4091433,+,652,ENST00000300737,STIM1
hsa_circ_0020629,55.0422,50.89345,,chr11,373749,382117,+,2741,ENST00000329962,B4GALNT4
hsa_circ_0022682,2495.192,860.88,,chr11,64024089,64032699,+,1977,ENST00000279230,PLCB3
hsa_circ_0023859,589.5979,180.3883,,chr11,82917099,82959129,+,1118,ENST00000260047,ANKRD42
hsa_circ_0096361,170.8933474,530.2888959,,chr11,70505932,70544868,-,284,ENST00000338508,SHANK2
hsa_circ_0096401,1824.52022,3534.134806,,chr11,73293050,73293299,-,249,ENST00000064778,FAM168A
hsa_circ_0022975,30.10822,75.36989,,chr11,66104803,66108804,-,1060,ENST00000425825,BRMS1
hsa_circ_0021318,40.46909,6.961905,,chr11,13435076,13484838,-,1065,ENST00000278174,BTBD10
hsa-circRNA9370-16,1458.464,1151.639,,chr11,2972488,2979774,-,376,ENST00000380542,NAP1L4
hsa_circ_0022149,528.6325371,1690.991884,,chr11,57258696,57268516,-,861,ENST00000278426,SLC43A1
hsa_circ_0024739,5.606016,140.6718,,chr11,124005626,124007975,+,635,ENST00000456829,VWA5A
hsa_circ_0022510,176.174,293.7747,,chr11,62462039,62489852,-,1827,ENST00000403734,HNRNPUL2-BSCL2
hsa_circ_0094763,147.0584,81.7098,,chr11,103306670,103327084,+,282,ENST00000375735,DYNC2H1
hsa_circ_0022456,1378.634061,1049.576638,,chr11,62361730,62363363,-,727,ENST00000278823,MTA2
hsa_circ_0096290,308.0882447,105.9476013,,chr11,68282495,68287119,+,290,ENST00000528635,PPP6R3
hsa_circ_0096686,209.339,50.2429,,chr11,86607158,86607484,+,326,ENST00000532234,PRSS23
hsa_circ_0023157,4899.988,2004.172,,chr11,67815113,67815271,+,158,ENST00000265686,TCIRG1
hsa_circ_0095008,87.19079,106.0716,,chr11,113076244,113078724,+,570,ENST00000531915,NCAM1
hsa_circ_0021261,23873.24,16124.7,,chr11,10823595,10828928,-,1385,ENST00000526148,EIF4G2
hsa_circ_0022477,5797.095405,5025.732745,,chr11,62394331,62401847,-,1903,ENST00000346178,GANAB
hsa_circ_0096749,1812.552836,1537.437183,,chr11,92495021,92495336,+,315,ENST00000409404,FAT3
hsa_circ_0021807,4958.869,8355.195,,chr11,45882398,45891368,+,727,ENST00000417225,CRY2
hsa_circ_0022257,38.24837727,26.09876623,,chr11,61066918,61090566,-,3191,ENST00000301764,DDB1
hsa_circ_0095862,179.9483,564.2447,,chr11,45265368,45274148,-,8780,ENST00000020926,SYT13
hsa_circ_0096616,447.3832,1035.976,,chr11,8435041,8502161,-,67120,ENST00000473980,STK33
hsa_circ_0021029,1508.634,755.6487,,chr11,6559841,6569632,+,3972,ENST00000254579,DNHD1
hsa_circ_0096297,10.0112953,11.01093443,,chr11,68287138,68287254,+,116,ENST00000393799,PPP6R3
hsa_circ_0022717,853.752,1493.618,,chr11,64570034,64570414,-,149,ENST00000435926,MAP4K2
hsa_circ_0096110,1872.551,2425.638,,chr11,64559380,64559894,-,341,ENST00000435926,MAP4K2
hsa_circ_0020865,2816.233,2290.017,,chr11,3716678,3789974,-,3383,ENST00000324932,NUP98
hsa_circ_0007286,16.66455,13.21908,,chr11,38891626,38900910,-,9284,---,-
hsa_circ_0022386,7334.958561,5519.934305,,chr11,61608095,61615756,+,228,ENST00000257261,FADS2
hsa-circRNA1510-24,979.4501,1046.208,,chr11,93424848,93440063,+,4413,ENST00000325212,KIAA1731
hsa_circ_0022223,4832.885635,3507.353217,,chr11,60687157,60687402,+,245,ENST00000227525,TMEM109
hsa-circRNA1607,5.357987,4.547455,,chr11,128580964,128581096,+,132,ENST00000608303,FLI1
hsa_circ_0024135,390.8662,132.7826,,chr11,103114421,103229087,+,2337,ENST00000375735,DYNC2H1
hsa_circ_0022028,4418.024,2859.573,,chr11,47648631,47656286,-,375,ENST00000302503,MTCH2
hsa_circ_0022497,990.2703964,805.3184152,,chr11,62443971,62446073,-,1044,ENST00000294119,UBXN1
hsa-circRNA9443-7,517.3392,233.2042,,chr11,28080472,28119540,-,1994,ENST00000263181,KIF18A
hsa_circ_0022882,26477.78,26389.04,,chr11,65394875,65397206,+,692,ENST00000355703,PCNXL3
hsa_circ_0096348,98.77634735,32.48111682,,chr11,70197099,70202360,+,449,ENST00000532504,PPFIA1
hsa-circRNA9786-5,3097.263,578.7437,,chr11,130773149,130773279,-,130,ENST00000265909,SNX19
hsa-circRNA1510-32,294.4065,216.0443,,chr11,93416724,93440063,+,4984,ENST00000325212,KIAA1731
hsa_circ_0021749,3765.434,2795.206,,chr11,35706806,35756993,+,338,ENST00000299413,TRIM44
hsa_circ_0023759,874.8817,771.2472,,chr11,77811987,77817992,-,640,ENST00000299626,ALG8
hsa_circ_0023844,939.9142,473.5946,,chr11,82612736,82642891,+,755,ENST00000525361,C11orf82
hsa_circ_0021718,8782.253,3182.26,,chr11,35208378,35222742,+,669,ENST00000360158,CD44
hsa_circ_0095124,5395.307,2602.445,,chr11,118451960,118464413,+,1238,ENST00000359415,ARCN1
hsa_circ_0022088,371.7946,323.0846,,chr11,47828621,47859175,-,1698,ENST00000378460,NUP160
hsa-circRNA9696-14,4055.46,1223.48,,chr11,108040654,108040770,-,116,ENST00000278612,NPAT
hsa_circ_0020677,1722.842,1704.47,,chr11,678693,678822,-,129,ENST00000527170,DEAF1
hsa_circ_0021706,1255.369,1188.684,,chr11,34952950,34982065,+,481,ENST00000448838,PDHX
hsa_circ_0094953,134.3306,357.8035,,chr11,110477284,110501515,-,776,ENST00000260283,ARHGAP20
hsa_circ_0022986,724.9517,1261.474,,chr11,66134934,66135019,-,85,ENST00000311161,SLC29A2
hsa_circ_0022864,1201.533,1915.816,,chr11,65385081,65391115,+,2030,ENST00000355703,PCNXL3
hsa_circ_0024428,273.8801,119.5989,,chr11,118243800,118245944,+,729,ENST00000252108,UBE4A
hsa_circ_0022153,1393.493255,2711.068796,,chr11,57259188,57259335,-,147,ENST00000278426,SLC43A1
hsa_circ_0095570,8680.124,14994,,chr11,2018820,2019000,+,180,ENST00000412788,-
hsa_circ_0095487,309.6912,148.5813,,chr11,17134120,17144360,-,1015,ENST00000265970,PIK3C2A
hsa_circ_0022160,2944.131525,2668.860468,,chr11,57449893,57456137,+,280,ENST00000527985,ZDHHC5
hsa_circ_0096340,247.3843094,247.9724967,,chr11,7009113,7013224,-,4112,---,-
hsa_circ_0020820,738.8429,711.1771,,chr11,2979628,2985981,-,358,ENST00000380542,NAP1L4
hsa-circRNA9438,1470.426,2935.704,,chr11,26702601,26705390,-,254,ENST00000396005,SLC5A12
hsa_circ_0094832,1022.599,361.0636,,chr11,107920616,107948967,+,944,ENST00000393094,CUL5
hsa_circ_0023318,1974.927,694.0281,,chr11,70172367,70194526,+,1557,ENST00000253925,PPFIA1
hsa-circRNA1439-2,1440.437,1720.711,,chr11,66833366,66834318,+,198,ENST00000308831,RHOD
hsa_circ_0094975,93.14011,81.52045,,chr11,111706887,111715446,-,686,ENST00000524457,ALG9
hsa_circ_0020958,5.701622,50.80739,,chr11,5263184,5264558,-,516,ENST00000433329,-
hsa_circ_0021900,4670.519,1966.232,,chr11,46774184,46780593,-,565,ENST00000529230,CKAP5
hsa_circ_0024895,749.1916,195.9772,,chr11,130773149,130776616,-,408,ENST00000265909,SNX19
hsa_circ_0024322,1068.029,1523.323,,chr11,113711319,113712490,-,266,ENST00000003302,USP28
hsa_circ_0021105,877.1158,584.4289,,chr11,8736156,8752756,-,1862,ENST00000534127,ST5
hsa_circ_0022284,7459.607288,6983.058975,,chr11,61079255,61081958,-,867,ENST00000301764,DDB1
hsa_circ_0024808,65.93083,61.66546,,chr11,126071988,126075676,-,1901,ENST00000298317,RPUSD4
hsa_circ_0021325,3399.495,1462.36,,chr11,14487827,14497491,-,835,ENST00000249923,COPB1
hsa-circRNA9513-20,9942.955,5100.749,,chr11,61645626,61646981,-,484,ENST00000527697,FADS3
hsa_circ_0023762,1400.168,1462.85,,chr11,77811987,77825035,-,1005,ENST00000299626,ALG8
hsa_circ_0023466,11112.33,9449.914,,chr11,72420914,72423613,-,776,ENST00000359373,ARAP1
hsa_circ_0023554,1871.867,1834.808,,chr11,73829272,73829427,-,155,ENST00000334126,C2CD3
hsa_circ_0006165,942.0694,703.2687,,chr11,10209895,10215534,-,5639,ENST00000256190,SBF2
hsa_circ_0023047,171.7702,388.0089,,chr11,66638245,66721907,-,978,ENST00000393960,PC
hsa_circ_0023423,1787.411,1257.947,,chr11,71808337,71810302,-,974,ENST00000278671,LAMTOR1
hsa_circ_0008790,21908.43,20702.93,,chr11,77333544,77336863,-,384,ENST00000525428,CLNS1A
hsa-circRNA9782-1,491.397,782.3316,,chr11,129800910,129817265,-,1236,ENST00000358825,PRDM10
hsa_circ_0023932,1803.861,794.7655,,chr11,85712077,85742653,-,887,ENST00000532317,PICALM
hsa_circ_0095507,14511.64,18460.66,,chr11,17370604,17371638,+,1034,---,NUCB2
hsa_circ_0096564,440.5979,433.0521,,chr11,82872368,82895950,+,23582,ENST00000298281,PCF11
hsa_circ_0096017,2878.424,6107.583,,chr11,61040670,61042056,-,204,ENST00000301770,VWCE
hsa_circ_0021592,462.1434,396.5086,,chr11,33279167,33309057,+,1367,ENST00000525975,HIPK3
hsa_circ_0024649,1449.764,384.9705,,chr11,120347369,120347457,+,88,ENST00000397843,ARHGEF12
hsa_circ_0096101,94.1825,459.4378,,chr11,64415447,64416268,+,821,ENST00000377551,NRXN2
hsa_circ_0005589,5840.06,2908.833,,chr11,118454523,118455359,+,371,ENST00000392859,ARCN1
hsa_circ_0022313,1611.268547,4996.849022,,chr11,61108907,61113418,+,1089,ENST00000394900,DAK
hsa_circ_0094761,456.9664,115.927,,chr11,103187273,103194718,+,390,ENST00000375735,DYNC2H1
hsa_circ_0096782,128.6107598,35.6156604,,chr11,93457419,93460803,+,965,ENST00000325212,KIAA1731
hsa_circ_0022803,1935.29,2052.178,,chr11,65034052,65036200,+,275,ENST00000265465,POLA2
hsa-circRNA1433-8,523.1261,402.0855,,chr11,66526513,66583670,+,867,ENST00000360962,C11orf80
hsa_circ_0023439,1084.333,3195.615,,chr11,71944118,71945659,+,464,ENST00000541756,INPPL1
hsa_circ_0008486,1371.313,530.9908,,chr11,8732391,8739439,-,875,ENST00000526757,ST5
hsa_circ_0092349,507.7778,63.75053,,chr11,93463898,93464258,-,360,ENST00000323981,TAF1D
hsa_circ_0095789,1696.418,4097.665,,chr11,3705056,3705542,-,486,ENST00000324932,NUP98
hsa_circ_0096423,343.1129664,446.9642809,,chr11,74049512,74058382,-,1017,ENST00000298198,PGM2L1
hsa-circRNA1231-1,235.6787,51.6335,,chr11,10508781,10524441,+,1207,ENST00000444303,AMPD3
hsa_circ_0024221,545.0502,177.717,,chr11,108143258,108143579,+,207,ENST00000527805,ATM
hsa-circRNA9640-44,2669.637,3283.196,,chr11,77824931,77835260,-,603,ENST00000299626,ALG8
hsa_circ_0096391,3755.576673,4329.643358,,chr11,72692322,72700142,-,7820,ENST00000311172,FCHSD2
hsa_circ_0004304,444.5345,411.5126,,chr11,77649696,77672184,-,694,ENST00000433818,INTS4
hsa_circ_0096530,17.04989,80.30493,,chr11,78379981,78419560,-,3354,ENST00000278550,TENM4
hsa_circ_0094901,60.75296,14.27019,,chr11,108158326,108203627,+,3934,ENST00000278616,ATM
hsa_circ_0024788,4436.587,2481.42,,chr11,125482883,125488456,+,598,ENST00000392708,STT3A
hsa_circ_0022222,2042.391499,2119.399089,,chr11,60658019,60671333,-,2114,ENST00000227524,PRPF19
hsa_circ_0023124,91.99756,51.84824,,chr11,67758574,67767150,-,1843,ENST00000530331,UNC93B1
hsa_circ_0023811,1492.763,3011.415,,chr11,78180292,78189729,-,204,ENST00000281038,NARS2
hsa_circ_0023434,713.1699,1664.611,,chr11,71940706,71941942,+,547,ENST00000541756,INPPL1
hsa_circ_0023106,47300.67,46001.36,,chr11,67266066,67269557,-,1069,ENST00000534749,PITPNM1
hsa-circRNA9693-1,723.206,451.1954,,chr11,107286934,107289013,-,184,ENST00000282251,CWF19L2
hsa_circ_0096768,6.104173808,19.80107942,,chr11,93097325,93148280,+,1341,ENST00000534747,CCDC67
hsa_circ_0095209,1003.134,532.756,,chr11,120925760,120926017,+,257,ENST00000529397,TBCEL
hsa_circ_0095807,2320.64,2107.218,,chr11,4091255,4095909,+,356,ENST00000300737,STIM1
hsa-circRNA9762-18,678.7114,777.618,,chr11,125853766,125873971,-,1144,ENST00000392693,CDON
hsa_circ_0022041,2577.155,1321.809,,chr11,47738068,47776216,-,3646,ENST00000263773,FNBP4
hsa_circ_0023170,567.3492,2107.227,,chr11,67933185,67934645,-,1460,ENST00000402789,SUV420H1
hsa_circ_0094797,137.5212,49.5024,,chr11,107224249,107263621,-,468,ENST00000282251,CWF19L2
hsa_circ_0096850,474.0702,216.9196,,chr11,95546095,95561191,+,925,ENST00000537677,CEP57
hsa_circ_0022635,12045.08,7759.553,,chr11,63961732,63965446,+,732,ENST00000538945,STIP1
hsa_circ_0023377,9261.42,29125.47,,chr11,71155900,71158780,-,229,ENST00000407721,DHCR7
hsa_circ_0095845,4566.232,2103.447,,chr11,44146338,44148505,+,336,ENST00000533608,EXT2
hsa-circRNA9586-9,1623.249,3357.317,,chr11,66631244,66639630,-,1368,ENST00000393955,PC
hsa_circ_0095300,78779.87,72704.02,,chr11,125851316,125853765,-,2449,ENST00000392693,CDON
hsa_circ_0021910,1147.095,667.9504,,chr11,46789124,46800149,-,978,ENST00000529230,CKAP5
hsa_circ_0096803,1509.430196,477.2861647,,chr11,93523739,93528226,+,595,ENST00000251871,MED17
hsa_circ_0095939,966.2375,600.6272,,chr11,47765504,47767946,-,550,ENST00000263773,FNBP4
hsa-circRNA1283-50,6286.954,4110.331,,chr11,34107851,34119308,+,943,ENST00000341394,CAPRIN1
hsa_circ_0021208,1479.065,269.3077,,chr11,9735012,9735186,+,174,ENST00000318950,SWAP70
hsa_circ_0022790,707.2419,408.8263,,chr11,64953640,64978343,+,1528,ENST00000533820,CAPN1
hsa-circRNA9468-6,935.3876,851.0065,,chr11,46465037,46570004,-,2619,ENST00000528950,AMBRA1
hsa_circ_0024318,1004.957,1006.288,,chr11,113679784,113679976,-,192,ENST00000003302,USP28
hsa_circ_0023871,5.705468,4.592335,,chr11,83962280,85309832,-,665,ENST00000376104,DLG2
hsa-circRNA1325-6,5103.743,3950.527,,chr11,47600820,47602536,+,314,ENST00000263774,NDUFS3
hsa-circRNA9402-4,1504.628,823.6889,,chr11,8772167,8772272,-,105,ENST00000526757,ST5
hsa_circ_0020752,12337.51,77954.5,,chr11,1213089,1213750,+,661,ENST00000358378,MUC5AC
hsa_circ_0024316,43.08131,32.98419,,chr11,113672204,113700189,-,2270,ENST00000544967,USP28
hsa_circ_0023173,164.8092,140.3163,,chr11,67933185,67947667,-,2129,ENST00000402789,SUV420H1
hsa_circ_0021408,393.7033,954.5498,,chr11,17448595,17448701,-,106,ENST00000389817,ABCC8
hsa_circ_0007058,43970.52,37730.43,,chr11,12696955,12785981,+,409,ENST00000361905,TEAD1
hsa_circ_0024777,3862.594,2118.177,,chr11,125475523,125481414,+,701,ENST00000392708,STT3A
hsa_circ_0095012,69.24269,140.7828,,chr11,113085090,113085233,+,143,ENST00000531915,NCAM1
hsa-circRNA9401-2,66.80102,41.9582,,chr11,8660200,8676125,-,2109,ENST00000402157,TRIM66
hsa-circRNA9585-20,166.2669,558.1278,,chr11,66473154,66473308,-,154,ENST00000533211,SPTBN2
hsa_circ_0020615,1977.023,2400.732,,chr11,244160,249057,+,565,ENST00000532097,PSMD13
hsa_circ_0024857,802.3792,688.3995,,chr11,129784598,129817265,-,2559,ENST00000358825,PRDM10
hsa_circ_0096343,7671.585477,4440.964945,,chr11,70176278,70178200,+,282,ENST00000253925,PPFIA1
hsa-circRNA9415-5,664.3406,1155.874,,chr11,11348632,11354378,-,234,ENST00000227756,GALNT18
hsa_circ_0096006,99.67694,261.3377,,chr11,59710319,59712739,+,280,ENST00000398992,OOSP1
hsa_circ_0022781,15754.42,12326.46,,chr11,64898744,64900251,-,380,ENST00000294256,SYVN1
hsa_circ_0023969,1285.801,1382.658,,chr11,86748885,86947726,+,711,ENST00000340353,TMEM135
hsa_circ_0023737,1191.858,706.3115,,chr11,77632385,77692622,-,1518,ENST00000433818,INTS4
hsa_circ_0096759,305.0378677,115.37572,,chr11,92881818,92901337,-,19519,ENST00000326402,SLC36A4
hsa_circ_0096298,2762.643247,1730.307575,,chr11,68305126,68315672,+,558,ENST00000393799,PPP6R3
hsa_circ_0022782,6770.897,6927.226,,chr11,64900202,64901089,-,444,ENST00000294256,SYVN1
hsa_circ_0096586,13.33387,10.4024,,chr11,83450760,83497835,-,47075,ENST00000398309,DLG2
hsa_circ_0022563,771.6428,781.306,,chr11,62621272,62623357,-,312,ENST00000538654,-
hsa_circ_0023668,39717.35,39463.53,,chr11,76687332,76734850,+,4016,ENST00000534206,ACER3
hsa_circ_0023867,142.0225,98.02947,,chr11,83252724,85309832,-,2209,ENST00000376104,DLG2
hsa_circ_0023509,1673.046,814.2914,,chr11,73429657,73429763,-,106,ENST00000336083,RAB6A
hsa_circ_0023096,2370.233,2118.669,,chr11,67200810,67201528,+,171,ENST00000312629,RPS6KB2
hsa_circ_0022951,525.8466,162.3197,,chr11,65998275,66012218,+,2869,ENST00000320580,PACS1
hsa_circ_0022839,3623.248,2621.201,,chr11,65338861,65339239,+,378,ENST00000527413,SSSCA1
hsa_circ_0022202,3694.515591,2263.102226,,chr11,59410352,59417083,-,465,ENST00000300146,PATL1
hsa_circ_0021633,5429.011,9835.676,,chr11,34098106,34112225,+,949,ENST00000341394,CAPRIN1
hsa_circ_0095031,1704.243,1423.023,,chr11,113669867,113670137,-,270,ENST00000003302,USP28
hsa_circ_0095673,54.46603,149.7854,,chr11,30578082,30602041,-,23959,ENST00000448418,MPPED2
hsa-circRNA1510-35,345.1202,120.4588,,chr11,93439910,93456455,+,600,ENST00000325212,KIAA1731
hsa-circRNA9376-44,8195.997,5412.312,,chr11,3704429,3714605,-,751,ENST00000324932,NUP98
hsa_circ_0096428,132.7101478,67.33034829,,chr11,74062427,74082862,-,470,ENST00000298198,PGM2L1
hsa_circ_0020635,148.7536,718.2601,,chr11,394328,404908,+,2697,ENST00000534401,PKP3
hsa_circ_0021517,9.454081,4.923564,,chr11,22696395,22752942,+,5392,ENST00000524701,GAS2
hsa_circ_0022370,1751.986671,3317.078281,,chr11,61570503,61571239,-,275,ENST00000350997,FADS1
hsa_circ_0023576,22.68471,71.68654,,chr11,73996853,73997436,-,341,ENST00000524388,P4HA3
hsa_circ_0024663,444.535,635.0799,,chr11,121358740,121454292,+,3178,ENST00000260197,SORL1
hsa_circ_0096887,5.495196,4.566574,,chr11,99191785,99196215,+,4430,ENST00000528727,CNTN5
hsa_circ_0024003,80.11119,82.5155,,chr11,92085261,92620279,+,13068,ENST00000409404,FAT3
hsa-circRNA1372-3,11399.57,7743.909,,chr11,63961950,63964869,+,438,ENST00000358794,STIP1
hsa_circ_0003843,5800.722,2559.362,,chr11,63419407,63426724,-,515,ENST00000398868,ATL3
hsa_circ_0024862,146.504,50.87506,,chr11,129814665,129830977,-,880,ENST00000358825,PRDM10
hsa_circ_0096844,14.6591053,4.504077616,,chr11,94917583,94926686,-,859,ENST00000536441,SESN3
hsa_circ_0096876,327.261,204.3082,,chr11,9864171,9874296,-,720,ENST00000256190,SBF2
hsa_circ_0095319,4245.194,2122.479,,chr11,126104889,126120628,+,574,ENST00000533050,FAM118B
hsa_circ_0096661,5936.779,3508.286,,chr11,85714408,85722179,-,235,ENST00000532317,PICALM
hsa_circ_0096365,1108.786066,682.5001326,,chr11,71166155,71175188,+,322,ENST00000319023,NADSYN1
hsa_circ_0096605,8.544509,104.715,,chr11,84148430,84150007,-,1577,ENST00000527466,DLG2
hsa_circ_0024528,4979.857,2148.666,,chr11,118940943,118950010,+,1966,ENST00000531528,VPS11
hsa-circRNA9371-16,47.88176,82.21231,,chr11,3059279,3069231,-,776,ENST00000380525,CARS
hsa_circ_0020795,209.7519,351.1062,,chr11,2335714,2336264,+,550,ENST00000461200,TSPAN32
hsa_circ_0021970,134.7541,803.3522,,chr11,47381403,47397280,-,285,ENST00000378538,SPI1
hsa_circ_0022151,1665.433787,2300.089646,,chr11,57259063,57259335,-,183,ENST00000278426,SLC43A1
hsa_circ_0096149,1363.308,538.7996,,chr11,65270025,65270329,+,304,ENST00000534336,-
hsa-circRNA9360,684.999,521.6136,,chr11,794457,795169,-,365,ENST00000320230,SLC25A22
hsa_circ_0003521,663.8709,906.5976,,chr11,93435625,93440063,+,475,ENST00000325212,KIAA1731
hsa_circ_0023379,1341.033,531.0938,,chr11,71164216,71174531,+,443,ENST00000319023,NADSYN1
hsa_circ_0023563,6440.833,4541.291,,chr11,73849764,73872601,-,630,ENST00000334126,C2CD3
hsa_circ_0095044,447.0537,522.0743,,chr11,113704141,113723355,-,624,ENST00000003302,USP28
hsa_circ_0023870,16.64422,12.61728,,chr11,83691548,85309832,-,1148,ENST00000376104,DLG2
hsa_circ_0095941,145.1426,90.08988,,chr11,47771491,47772842,-,1351,ENST00000263773,FNBP4
hsa_circ_0023621,203.8018,270.3672,,chr11,75145684,75160655,-,2211,ENST00000526177,GDPD5
hsa-circRNA1354-3,6559.751,4372.952,,chr11,61605249,61624543,+,598,ENST00000257261,FADS2
hsa_circ_0094800,295.2682,125.5875,,chr11,107260799,107326502,-,1767,ENST00000282251,CWF19L2
hsa-circRNA9586-3,2685.471,4638.007,,chr11,66638522,66639630,-,633,ENST00000393955,PC
hsa-circRNA9485-5,323.0774,44.45866,,chr11,47735835,47736261,-,156,ENST00000528244,AGBL2
hsa_circ_0021032,73.91276,35.47685,,chr11,6565350,6569632,+,3470,ENST00000254579,DNHD1
hsa_circ_0020789,5355.248,50246.05,,chr11,2017105,2017421,-,236,ENST00000442037,-
hsa_circ_0020967,5.393852,4.518598,,chr11,5289579,5290906,-,471,ENST00000380237,HBE1
hsa_circ_0021232,1369.744,632.3863,,chr11,10022460,10024236,-,242,ENST00000256190,SBF2
hsa_circ_0095511,161.394,49.52179,,chr11,17981016,18031686,-,50670,ENST00000525422,SERGEF
hsa_circ_0096190,2131.517,1315.864,,chr11,65831098,65835804,+,388,ENST00000528302,SF3B2
hsa_circ_0095940,5577.4,3571.223,,chr11,47767607,47772842,-,608,ENST00000263773,FNBP4
hsa_circ_0022252,1109.457628,2246.323968,,chr11,61048095,61059048,-,1214,ENST00000301770,VWCE
hsa_circ_0021770,246.3598,91.55842,,chr11,43418258,43423108,+,669,ENST00000299240,TTC17
hsa_circ_0021727,3379.192,528.3188,,chr11,35222628,35226187,+,360,ENST00000360158,CD44
hsa_circ_0020620,2978.338,6754.516,,chr11,294098,294196,+,98,ENST00000474221,ATHL1
hsa_circ_0024100,2097.672,4555.616,,chr11,102076623,102076817,+,194,ENST00000345877,YAP1
hsa_circ_0022845,582.694,452.5113,,chr11,65365228,65375541,-,2157,ENST00000524848,MAP3K11
hsa_circ_0022055,3042.994,1872.863,,chr11,47774467,47774654,-,187,ENST00000263773,FNBP4
hsa_circ_0095433,93.86813,53.02898,,chr11,14896498,14902314,-,5816,ENST00000532805,CYP2R1
hsa_circ_0020911,17605.29,31894.19,,chr11,3784131,3800487,-,1010,ENST00000324932,NUP98
hsa_circ_0095234,6.440518,4.494771,,chr11,121934887,121937142,-,2255,ENST00000532319,-
hsa_circ_0021400,6993.693,3704.844,,chr11,17170213,17191353,-,1513,ENST00000265970,PIK3C2A
hsa_circ_0023935,19981.56,11639.77,,chr11,85718584,85726006,-,355,ENST00000532317,PICALM
hsa_circ_0095306,1850.138,2854.795,,chr11,125871613,125873971,-,307,ENST00000392693,CDON
hsa_circ_0094814,1194.625,168.1147,,chr11,107673726,107686691,-,829,ENST00000525815,SLC35F2
hsa_circ_0021022,228.0665,310.9958,,chr11,6559612,6565901,+,854,ENST00000254579,DNHD1
hsa_circ_0095916,1014.9,1098.504,,chr11,47394254,47394374,+,120,ENST00000378538,SPI1
hsa_circ_0024291,4325.309,1718.628,,chr11,111896921,111914257,+,918,ENST00000280346,DLAT
hsa-circRNA1219-8,13605.61,6587.98,,chr11,8013630,8016064,+,310,ENST00000533626,EIF3F
hsa-circRNA9402-33,1398.73,669.4401,,chr11,8732391,8737365,-,723,ENST00000526757,ST5
hsa_circ_0008380,6221.441,10936.32,,chr11,3752620,3765879,-,463,ENST00000324932,NUP98
hsa_circ_0095140,1216.716,239.5699,,chr11,11895346,11913653,+,517,ENST00000399455,USP47
hsa_circ_0023089,5016.644,2957.782,,chr11,67196452,67198986,+,379,ENST00000556575,RPS6KB2
hsa_circ_0024018,4385.825,2219.477,,chr11,93465409,93469917,-,4119,ENST00000323981,TAF1D
